exon_id	fraction	time	T2C_over_T	weighted_error	T_exon
ENSMUSE00000672106	nuc_exon	15	0.1606487929529222	0.1	4900.0
ENSMUSE00000672106	nuc_exon	20	0.3534330501720982	0.1	3570.75
ENSMUSE00000672106	nuc_exon	30	0.4146148911530656	0.1	3989.0
ENSMUSE00000672106	nuc_exon	40	0.3295819404094985	0.1	1712.5
ENSMUSE00000672106	nuc_exon	60	0.6243269419633514	0.1	3592.0
ENSMUSE00000672106	nuc_exon	120	0.7993793227450028	0.1	3324.25
ENSMUSE00000672106	nuc_exon	180	0.8322685079794001	0.1	4054.5
ENSMUSE00000672106	cyto	15	0.1538462345873767	0.10540084404759353	7042.0
ENSMUSE00000672106	cyto	20	0.1209133185234771	0.10540084404759353	3684.25
ENSMUSE00000672106	cyto	30	0.4416131763348093	0.10540084404759353	6361.0
ENSMUSE00000672106	cyto	40	0.2239624595109814	0.1180028134919784	729.5
ENSMUSE00000672106	cyto	60	0.7091871895821872	0.10540084404759353	2736.0
ENSMUSE00000672106	cyto	120	0.8799503823133444	0.10540084404759353	2567.0
ENSMUSE00000672106	cyto	180	0.9955774945200676	0.10540084404759353	3532.5
ENSMUSE00000672106	mem	15	0.2212935586503615	0.10166084410748452	3730.5
ENSMUSE00000672106	mem	20	0.1565164814537748	0.10166084410748452	2573.0
ENSMUSE00000672106	mem	30	0.3588147304286544	0.10553614702494843	3782.5
ENSMUSE00000672106	mem	40	0.3089550337327652	0.10166084410748452	1126.0
ENSMUSE00000672106	mem	60	0.5872858269605735	0.10166084410748452	2388.25
ENSMUSE00000672106	mem	120	0.9184588277688138	0.10166084410748452	2269.25
ENSMUSE00000672106	mem	180	0.8279942313956077	0.10166084410748452	2303.0
